index,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
119,6.0,2.2,5.0,1.5,2
128,6.4,2.8,5.6,2.1,2
135,7.7,3.0,6.1,2.3,2
91,6.1,3.0,4.6,1.4,1
112,6.8,3.0,5.5,2.1,2
71,6.1,2.8,4.0,1.3,1
123,6.3,2.7,4.9,1.8,2
85,6.0,3.4,4.5,1.6,1
147,6.5,3.0,5.2,2.0,2
143,6.8,3.2,5.9,2.3,2
127,6.1,3.0,4.9,1.8,2
39,5.1,3.4,1.5,0.2,0
38,4.4,3.0,1.3,0.2,0
93,5.0,2.3,3.3,1.0,1
23,5.1,3.3,1.7,0.5,0
133,6.3,2.8,5.1,1.5,2
30,4.8,3.1,1.6,0.2,0
83,6.0,2.7,5.1,1.6,1
37,4.9,3.6,1.4,0.1,0
41,4.5,2.3,1.3,0.3,0
81,5.5,2.4,3.7,1.0,1
120,6.9,3.2,5.7,2.3,2
43,5.0,3.5,1.6,0.6,0
2,4.7,3.2,1.3,0.2,0
64,5.6,2.9,3.6,1.3,1
62,6.0,2.2,4.0,1.0,1
56,6.3,3.3,4.7,1.6,1
67,5.8,2.7,4.1,1.0,1
49,5.0,3.3,1.4,0.2,0
63,6.1,2.9,4.7,1.4,1
79,5.7,2.6,3.5,1.0,1
54,6.5,2.8,4.6,1.5,1
106,4.9,2.5,4.5,1.7,2
90,5.5,2.6,4.4,1.2,1
145,6.7,3.0,5.2,2.3,2
14,5.8,4.0,1.2,0.2,0
141,6.9,3.1,5.1,2.3,2
51,6.4,3.2,4.5,1.5,1
139,6.9,3.1,5.4,2.1,2
70,5.9,3.2,4.8,1.8,1
97,6.2,2.9,4.3,1.3,1
55,5.7,2.8,4.5,1.3,1
32,5.2,4.1,1.5,0.1,0
104,6.5,3.0,5.8,2.2,2
136,6.3,3.4,5.6,2.4,2
18,5.7,3.8,1.7,0.3,0
108,6.7,2.5,5.8,1.8,2
98,5.1,2.5,3.0,1.1,1
45,4.8,3.0,1.4,0.3,0
68,6.2,2.2,4.5,1.5,1
111,6.4,2.7,5.3,1.9,2
82,5.8,2.7,3.9,1.2,1
130,7.4,2.8,6.1,1.9,2
27,5.2,3.5,1.5,0.2,0
33,5.5,4.2,1.4,0.2,0
149,5.9,3.0,5.1,1.8,2
126,6.2,2.8,4.8,1.8,2
3,4.6,3.1,1.5,0.2,0
66,5.6,3.0,4.5,1.5,1
6,4.6,3.4,1.4,0.3,0
9,4.9,3.1,1.5,0.1,0
75,6.6,3.0,4.4,1.4,1
16,5.4,3.9,1.3,0.4,0
57,4.9,2.4,3.3,1.0,1
148,6.2,3.4,5.4,2.3,2
25,5.0,3.0,1.6,0.2,0
87,6.3,2.3,4.4,1.3,1
99,5.7,2.8,4.1,1.3,1
121,5.6,2.8,4.9,2.0,2
0,5.1,3.5,1.4,0.2,0
96,5.7,2.9,4.2,1.3,1
60,5.0,2.0,3.5,1.0,1
24,4.8,3.4,1.9,0.2,0
118,7.7,2.6,6.9,2.3,2
72,6.3,2.5,4.9,1.5,1
17,5.1,3.5,1.4,0.3,0
116,6.5,3.0,5.5,1.8,2
146,6.3,2.5,5.0,1.9,2
42,4.4,3.2,1.3,0.2,0
77,6.7,3.0,5.0,1.7,1
10,5.4,3.7,1.5,0.2,0
40,5.0,3.5,1.3,0.3,0
124,6.7,3.3,5.7,2.1,2
117,7.7,3.8,6.7,2.2,2
113,5.7,2.5,5.0,2.0,2
47,4.6,3.2,1.4,0.2,0
29,4.7,3.2,1.6,0.2,0
7,5.0,3.4,1.5,0.2,0
11,4.8,3.4,1.6,0.2,0
48,5.3,3.7,1.5,0.2,0
134,6.1,2.6,5.6,1.4,2
138,6.0,3.0,4.8,1.8,2
36,5.5,3.5,1.3,0.2,0
125,7.2,3.2,6.0,1.8,2
50,7.0,3.2,4.7,1.4,1
15,5.7,4.4,1.5,0.4,0
13,4.3,3.0,1.1,0.1,0
110,6.5,3.2,5.1,2.0,2
101,5.8,2.7,5.1,1.9,2
115,6.4,3.2,5.3,2.3,2
73,6.1,2.8,4.7,1.2,1
78,6.0,2.9,4.5,1.5,1
142,5.8,2.7,5.1,1.9,2
1,4.9,3.0,1.4,0.2,0
58,6.6,2.9,4.6,1.3,1
102,7.1,3.0,5.9,2.1,2
74,6.4,2.9,4.3,1.3,1
52,6.9,3.1,4.9,1.5,1
8,4.4,2.9,1.4,0.2,0
95,5.7,3.0,4.2,1.2,1
21,5.1,3.7,1.5,0.4,0
61,5.9,3.0,4.2,1.5,1
31,5.4,3.4,1.5,0.4,0
94,5.6,2.7,4.2,1.3,1
107,7.3,2.9,6.3,1.8,2
100,6.3,3.3,6.0,2.5,2
144,6.7,3.3,5.7,2.5,2
46,5.1,3.8,1.6,0.2,0
34,4.9,3.1,1.5,0.2,0
22,4.6,3.6,1.0,0.2,0
